代碼,顯示名,廠牌
MBC215,C215 (CL系列),
MBC219,C219 (CLS系列),
MBC238,C238 (E-CLASS),
MBC253,C253 (GLC),
MBC257,C257 (CLS系列),
MBC292,GLE (C292),
MBCL,BENZ CL,M BENZ
MBCLA,BENZ CLA,M BENZ
MBCLK,BENZ CLK,M BENZ
MBCLS,BENZ CLS,M BENZ
MBE,BENZ E,M BENZ
MBE200,E200K,
MBE220,E220,
MBG,BENZ G,M BENZ
MBGL,BENZ GL,M BENZ
MBGLA,BENZ GLA,M BENZ
MBGLB,BENZ GLB,M BENZ
MBGLC,BENZ GLC,M BENZ
MBGLE,BENZ GLE,M BENZ
MBGLK,BENZ GLK,M BENZ
MBGLS,MBGLS,M BENZ
MBM,BENZ M,M BENZ
MBM112,BENZ M112,
MBM113,BENZ M113,
MBM115,BENZ M115,
MBML,BENZ ML,M BENZ
MBR,BENZ R,M BENZ
MBR129,R129 ( SL系列),
MBR170,R170 (SLK系列),
MBR171,R171 (SLK系列),
MBR172,R172 (SLK系列),
MBR230,R230 (SL系列),
MBR231,R231,
MBR350,M.BENZ R350,
MBS,BENZ S,M BENZ
MBS205,S205 (C-class),
MBS206,S206 (C-CLASS),
MBS213,S213 (E-CLASS),
MBS350,S350,
MBSL,BENZ SL,M BENZ
MBSLK,BENZ SLK,M BENZ
MBSM,BENZ SMART,
MBV,BENZ V,M BENZ
MBVI,VIANO,
MBVT,VITO,
MBW123,W123,
MBW124,W124,
MBW126,W126,
MBW129,W129,
MBW140,W140 (S-CLASS),
MBW160,W160,
MBW163,W163 (ML-class),
MBW164,W164 (ML-CLASS),
MBW166,W166 (M-CLASS),
MBW167,W167 (GLE系列),
MBW169,W169 (A-CLASS),
MBW176,W176 (A-CLASS),
MBW177,W177 (A-CLASS),
MBW201,W201 ( 190E ),
MBW202,W202 (C-CLASS),
MBW203,W203 (C-CLASS),
MBW204,W204 (C-CLASS),
MBW205,W205 (C-class),
MBW206,W206 (C-CLASS),
MBW207,W207,
MBW208,W208 (CLK系列),
MBW209,W209,
MBW210,W210 (E-CLASS),
MBW211,W211 (E-CLASS),
MBW212,W212 (E-CLASS),
MBW213,W213 (E-CLASS),
MBW216,W216,
MBW217,W217 (S-CLASS),
MBW218,W218 (CLS系列),
MBW219,W219 (CLS系列),
MBW220,W220 (S-CLASS),
MBW221,W221 (S-CLASS),
MBW222,W222 (S-CLASS),
MBW245,W245 (B-CLASS),
MBW246,W246 (B-CLASS),
MBW247,W247 (B-CLASS),
MBW251,W251 (R-class),
MBW320,W320,
MBW447,W447 (V-CLASS),
MBW463,W463 (G-CLASS),
MBW638,W638 (V-CLASS),
MBW639,W639 (V-CLASS),
MBWTW,M. BENZ 托車頭,
MBX117,X117 (CLA系列),
MBX118,CLA,M.BENZ
MBX156,X156 (GLA系列),
MBX166,X166 (GL GLS系列),
MBX204,X204 (GLK系列),
MBX253,X253 (GLC),
MBX290,X290 (AMG GT),
MGHS,HS,MG
MGZS,MG ZS,MG
MI,三菱,
MI1X,百利,
MI2X,多利,
MI3000,3000GT,
MIA180,A180,
MIA190,A190,
MICH,CHALLENGER,
MICP,COLT PLUS,
MID2 MIR2 MICA,肯達 (堅達),
MID24 MIR24 MICA4,新肯達 (堅達) 4期,
MID25 MIR25 MICA5,新肯達 (堅達) 5期,
MIDE,得利卡,
MIDE2.0,得利卡 2.0,
MIDE2.4,得利卡 2.4,
MIDE2.5,得利卡 2.5,
MIDEP,得利卡2.4 P350,
MIDI,DIAMANTE,
MIEC,ECLIPSE CROSS,
MIEC MIBG MIWU,ECLIPSE,
MIFO,FORTIS,
MIFR,FREECA,
MIGA MIRX,GALANT,
MIGL,GLOBAL LANCER,
MIGLA,GRAND LANCER,
MIGR,GRUNDER,
MIGRA,GRANDIS,
MIGTR,GTR,
MIIN,INSPIRE,
MIJS,J-Space,
MIJX,威利,
MILA MIXG,LANCER,
MILF,LANCER FORTIS,
MILI,LIBERO 菱帥旅行車,
MIMA,MAGIC 神奇,
MIMI,MIRAGE 忍者,
MINCO,COOPER,
MINCOS,COOPER S,
MINIC,MINI COOPER,BMW MINI
MINICL,MINI CLUBMAN,BMW MINI
MINICOU,MINI COUNTRYMAN,BMW MINI
MINICV,MINI CLUBVAN,BMW MINI
MINIPE,MINI PEACEMAN,BMW MINI
MINON,ONE,
MIOUT,OUTLANDER,
MIPA,PAJERO,
MIPP,PAJERO PININ,
MIRO,三菱 ROSA 中巴,
MIRVR,RVR,
MISA,SAVRIN,
MISG,SPACE GEAR,
MISP,SPORTBACK,
MIV2 V2,LEADCA 新達,
MIVA,VARICA,
MIVE MIXX,VERYCA 菱利,
MIVI,VIRAGE,
MIVIIO,VIRAGE IO,
MIWI,WIRA 威菱,
MIXF,X-FORCE,
MIZI,ZINGER,
NBQ,散熱片,
ND,ND,
NI,NISSAN,
NI101,飛羚101,
NI102,飛羚102,
NI180,SENTRA 180,
NI1A,寶馬,
NI240,3240SX,
NI253,253,
NI255,255,
NI261,261,
NI300,NISSAN 300Z,NISSAN
NI301,301,
NI302,302,
NI303,303,
NI311,311,
NI312,312,
NI321,321,
NI331,331,
NI3311.4,331 1.4,
NI3311.6,331 1.6,
NI341,341,
NI342,342,
NI350Z,350Z,
NI352,352,
NI353,353,
NI37,370Z,NISSAN
NI721,快得利 721,
NI747,好馬 747,
NI755,雷鳥755,
NI803,803,
NI806,806,
NI807,807,
NI811,811,
NI82,阿帝馬,
NI830,830,
NI902,樂利 902,
NI911,911,
NI921,921,
NI923,923,
NI931,931,
NI931U,931英規,
NIAD,AD 旅行車,
NIAL,ALTIMA,
NIALL,ALL NEW SENTRA,
NIAR,AREX,
NIB14,B14,
NIBB NIFS,Blue Bird,
NIBE,酷比,
NIBT,BIG TIIDA,
NIBU,BUBE,
NIC1,KING CAB 豪豹帝,
NICE,CE,
NICEF,CEFIRO,
NICU,CUBE,
NID2X,快得利 721,
NIHV,HV,
NIJU,JUKE,
NIKI,KICKS,
NILE,LEAF (純電車),
NILI,LIVINA,
NIM1,SENTRA M1,
NIMA,MARCH,
NIMAR,NEW MARCH,
NIMAX,MAXIMA,
NIMU,MURANO,
NINA,NAVARA,
NINRV,NRV 旅行車 (AD後續車),
NIPA,PATHFINDER,
NIPR,PRIMERA,
NIQ45,Q45,
NIQRV,QRV,
NIQU,QUEST,
NIQX4,QX4,
NIR1,精兵,
NIRJ,勁旺,
NIRM,勁勇 TURBO,
NIRO NIXD,ROGUE,
NISD22,SD22,
NISE,SERENA,
NISEN,SENTRA,
NISER,SE-R,
NISS,SUPER SENTRA,
NISU,SUNNY,
NISY,SYLPHY (G11),
NITE,TEANA,
NITI,TIIDA,
NITM,TOBE MCAR,
NIUR,URVAN,NISSAN
NIVA,VARITA (MARCH 復古車),
NIVE,VERITA,
NIX,X-TRAIL,
NIZ50,Z50,
NIZA2,福滿多,
NV,三星,
NXR,掃路機,
OE5T,OE正廠,
OL,OLDSMOBILE 奧斯摩比,
OLAC,ACHIEVA 愛琦華,
OLBR,BRAVADA 勇士,
OLCC,CUTLASS CALAIS 卡拉斯,
OLCC.,CUTLASS CIERA 鋒芒,
OLCS,CUTLASS SUPREME 天駒,
OLDE,OLDSMOBILE DELTA,
OLFI,FIRENZA 翡冷翠,
OLRE,OLDSMOBILE REGENCY,
OLSI,SILHOUETTE,
OP,OPEL,
OPAS,ASTRA,
OPCA,CALIBRA,
OPCO,CORSA,
OPIN,INSIGNIA,
OPKA,KADETT 卡迪,
OPOM,OMEGA,
OPTI,TIGRA,
OPVE,VECTRA,
OPZA,ZAFIRA,
PE,寶獅,
PE1007,寶獅 1007,
PE106,寶獅 106,
PE107,寶獅 107,
PE108,寶獅 108,
PE2008,寶獅 2008,
PE205,寶獅 205,
PE206,寶獅 206,
PE207,寶獅 207,
PE208,寶獅 208,
PE3008,寶獅 3008,
PE305,寶獅 305,
PE306,寶獅 306,
PE307,寶獅 307,
PE308,寶獅 308,
PE309,寶獅 309,
PE4007,寶獅 4007,
PE4008,寶獅 4008,
PE405,寶獅 405,
PE406,寶獅 406,
PE407,寶獅 407,
PE408,寶獅 408,
PE5008,寶獅 5008,
PE504,寶獅 504,
PE505,寶獅 505,
PE508,寶獅 508,
PE605,寶獅 605,
PE607,寶獅 607,
PE807,寶獅 807,
PER,PERKINS,
PERCZ,寶獅 RCZ,
PETR,寶獅 TRAVELLER,
PLAT,ACCLAIM TURBO 讚揚,
PLHO,HORIEON,
PLSU,SUNDANCE 閃電士,
PON,PONTIAC 龐帝克,
PONBO,BONNEVILLE 佰你迷利,
PONEXA,GRAND AM 2.0 格蘭美,
PONFI,FIERO 飛葛,
PONGR,GRAND AM 格蘭美,
PONSB,SUN BIRD 太陽鳥,
PONTS,TRANS SPORT 舒跑,
POR 1GR,保時捷,
POR911 1GR911,保時捷 911,
POR922 1GR922,保時捷 922,
POR924 1GR924,保時捷 924,
POR928 1GR928,保時捷 928,
POR944 1GR944,保時捷 944,
POR968 1GR968,保時捷 968,
PORBO 1GRBO,BOXTER,
PORCA 1GRCA,CAYENNE,
PORCAY 1GRCAY,CAYMAN,
PORMA  1GRMA,MACAN,
PORPA 1GRPA,PANAMERA,
PORT,PORTON 寶騰,
PU605,寶獅 605,
PWJX,威菱,
PWSA,SAVVY,
Q2,皮帶,
Q5DE,Q5DE,
R231,SL-CLASS,
RE,雷諾,
RE370,雷諾 拖車頭 370,
RE410,雷諾 拖車頭 410,
RE450,雷諾 拖車頭 450,
RECL,CLIO,
RECX,EXPRESS 紅龍,
REES,ESPACE,
REEX,EXPACE,
REHS,HEGANE SCENIC,
RELA,LAGUNA,
RELU,雷諾 LUXMORE,
REMA,MAGANE,RENAULT
REME,MEGANE,
REMO,RENAULT MODUS,RENAULT
RER11,R11,
RER19,R19,
RER21,R21,
RER25,R25,
RER5,R5,
RER9,R9,
RESA,SAFRANE,
RESC,SCENIC,
RETW,TWINGO,
REUY,LUXMORE 銀鑽,
REWTW,雷諾 拖車頭,
RO,ROVER,
RO214,ROVER 214,
RO216,ROVER 216,
RO218,ROVER 218,
RO220,ROVER 220,
RO416,ROVER 416,
RO620,ROVER 620,
RO623,ROVER 623,
RO820,ROVER 820,
RO820E,ROVER 820E,
RO820I,ROVER 820I,
RO820SI,ROVER 820SI,
RO825,ROVER 825SI,
RO827,ROVER 827,
RODEF,DEFENDER,
RODI,DISCOVERY,
RODIE,DIESEL V6,
ROEV,EVOQUE,
ROFR,FREELANDER,
ROLA,LAND ROVER,
ROLADI,LAND ROVER DISCOVERY,
ROLARR,LAND ROVER RANGE ROVER VOGUE,
ROMGF,MGF ROADSTER,
ROMM,MINI MAYFAIR,
ROMO,MOTEGO,
ROMPI,MPI,
RORR,RANGE ROVER,
RORRS,RANGE ROVER SPORT,
RORV,RANGE ROVER VOGUE,
ROSP RODIS,DISCOVERY SPORT,
ROST,STEELING,
RUV,機油芯,
RX,金龍巴士,
SA,SAAB,
SA900,SAAB 900,
SA9000,SAAB 9000,
SA9-3,SAAB 9-3,
SA9-5,SAAB 9-5,
SAT,SATURN 釷星,
SEAL,ALHAMBRA,
SEBA,BARCELONA 巴塞隆納,
SECO,CORDOBA 喜悅,
SEIB,IBIZA 依必莎,
SELE,LEON,
SEMA,MALAGA 瑪拉佳,
SEN,SENEBOGEA,
SERO,RONDA 隆達,
SETO,TOLEDO 喜悅,
SI N2D,SITRAK 賽德卡,
SKCI,CITIGO,
SKFA,FABIA,
SKKA,KAMIQ,
SKKAR,KAROQ,
SKKO,KODIAQ,
SKOC,OCTAVIA,
SKRA,RAPID,
SKRO,ROOMSTER,
SKSC,SCALA,
SKSU,SUPERB,
SKYE,YETI,
SM,SMART,
SMF2,SMART FORTWO,
SUB,SUBARU速霸路,
SUB2AE,DOMINGO 多猛哥,
SUBBRZ,BRZ,
SUBCA,CASABLANCA,
SUBFO,FORESTER,
SUBG1,山豹 700,
SUBGT,GT-86,
SUBIM,IMPREZA,
SUBJU,JUSTY 捷速帝,
SUBLE,LEGACY 那格西,
SUBLEV,LEVORG,
SUBOU,OUTBACK,
SUBOUT,OUTBACK,
SUBRAA,TUTTO 金美滿,
SUBRZV,金福相,
SUBWRX,WRX,
SUBXV,XV,
SULEV,LEVORG,
SUZ,鈴木,
SUZAL,ALTO,
SUZBA,BALENO,
SUZCA SUZRX,CARRY 吉利,
SUZES,ESTEEM,
SUZEV,EVERY 好伙伴,
SUZGV,GRAND VITARA,
SUZIG,IGNIS,
SUZJI,JIMNY,
SUZLA,LANDY,
SUZLI,LIANA,
SUZMA,MAGON,
SUZNI,NIPPY,
SUZRRV,VITARA 金吉星,
SUZRV,ESCUDO 吉星,
SUZRZV,CULTUS 金福星,
SUZSC,SX4 CROSSOVER,
SUZSO,SOLIO,
SUZSUV,SUV,
SUZSW,SWIFT,
SUZSX4,SX4,
SUZTRRRV,VITARA V6 超級金吉星,
SUZVI,VITARA,
SUZVRX,小精靈,
SUZVZV,CULTUS 新福星,
SUZWA,WAGON R,
SUZXL7,XL7,
SUZZ1,,
SUZZV,CULTUS 福星,
SY,SSANG YONG,
SYAC,ACTYON,
SYCH,CHAIRMAN(韓國賓士),
SYCM500S,CM500S,
SYCM600C,CM600C,
SYCM600S,CM600S,
SYKO,KORANDO,
SYKY,KYRON,
SYMU,MUSSO,
SYRE,REXTON,
SYRX320,REXTON RX320,
SYST,STAVIC,
TCM,TCM,
TE WNX,TESLA 特斯拉,
TEM3,TESLA MODEL 3,
TEMS,TESLA MODEL S,
TEMX,TESLA MODEL X,
TEMY,TESLA MODEL Y,
TF,川崎,
TFW,充氣頭,
TM,船用,
TO,豐田 TOYOTA,
TO13B,豐田 13B,
TO2ER,豐田 堆高機,
TO2S TODY,黛那 DYNA,
TO2S200,黛那 DYNA 200,
TO2S300,黛那 DYNA 300,
TO2S4,黛那 DYNA (4期),
TO2S400,黛那 DYNA 400,
TO2S5,黛那 DYNA (5期),
TO51,豐田 中巴,
TO51BB58,"豐田 中巴 BB""58",
TOAE,AERO,
TOAE86,AE 86 (跑車),TOYOTA
TOAL,ALTIS,
TOALP,ALPHARD,
TOAU,AURIS,
TOAV,AVALON,
TOBEM,M.CAR,
TOBEMW,M.WAY,
TOBEW,W.CAR,
TOCA,CAMRY,
TOCAGO TOGC,GOA CAMRY,
TOCE,CELICA 西科卡,
TOCHR,C-HR,
TOCO 51,中巴 COASTER,
TOCR,CROSS (COROLLA CROSS),
TOCRO,CROWN,
TOEC,ECHO,
TOEX,EXSIOR,
TOFT,FT-86,
TOGA,豐田 山貓,
TOGAK6,豐田 山貓 K6,
TOGAK7,豐田 山貓 K7,
TOGAK8,豐田 山貓 K8,
TOGR,GRANVIA,
TOGT,GT-86,
TOHI,HIACE(海力士),
TOHIGH,HIGHLANDER,
TOHIL,HILUX (貨卡),
TOIN,INNOVA,
TOIQ,IQ,
TOLA,COROLLA 美規,
TOLAGO,GOA COROLLA  美規,
TOLC,LAND CRUISER,
TOMR2,MR2,
TONA,CORONA 台規,
TOPI,PICK UP,
TOPR,PREMIO,
TOPRA,PRADO (LAND CRUISER),
TOPRE,PREVIA,
TOPRI,PRIUS,
TOPRIC,PRIUS C,
TOPU,4-RUNNER,
TORAV,RAV-4,
TORO,ROSA,
TORU,RUNNER,
TOSI,SIENNA,
TOSIE,SIENTA(五月天),
TOSO,豐田 SOLEMIO,
TOSU,豐田 SURF,
TOSUP,蘇普娜 SUPRA,
TOTA,TACOMA,
TOTE,豐田 TERCEL,
TOTO,TOCOMA,
TOTOW TOAT,TOWN ACE (發財王牌),
TOTU,TUNDRA,
TOVGA,豐田 小山貓,
TOVI,VIOS,
TOWI,WISH,
TOYA,YARIS,
TOYC TOYAC,YARIS CROSS,
TOZA,豐田 ZACE 瑞獅,
TUV,柴油芯,
U2 INDA INT,INTERNATIONAL(印達),
UD,UD 民生,
UD10,UD 10,
UD340,UD 340,
UD380,UD 380,
UD410,UD 410,
UD420,UD 420,
UD450,UD 450,
UD520,UD 520,
UD530,UD 530,
UD540,UD 540,
UD6,UD 6,
UD8,UD 8,
UDCM86,UDCM86 8.7T,
UDCM87,UDCM87 8.7T,
UDCP80,UDCP80 10.5T,
UDCWB410,UD/5期,
UNR,壓縮機,
UNR1CW,壓縮機變換頭,
UXR,壓路機,
VAX,希米鹿,
VEA4C,AUDI A4 CABRIOLET,
VEE,小乖乖,
VF,線圈,
VN KO,KOMATSU 小松,
VN120 KO120,KOMATSU PC-120,
VN128 KO128,KOMATSU PC-128,
VN200 KO200,KOMATSU PC-200,
VN228 KO228,KOMATSU PC-228,
VN2ER KO2ER,KOMATSU 推高機,
VN300 KO300,KOMATSU PC-300,
VN350 KO350,KOMATSU PC-350,
VN400 KO400,KOMATSU PC-400,
VN45 KO45,KOMATSU PC-45 小乖乖,
VN450 KO450,KOMATSU PC-450,
VN450-3 KO450-3,KOMATSU PC-450-3型,
VN60 KO60,KOMATSU PC-60,
VO,VOLVO 富豪,
VO13 VOFM13,VOLVO FM13,
VO240,VOLVO 240,
VO244,VOLVO 244,
VO340,VOLVO 340,
VO360,VOLVO 360,
VO410 VOFM410,VOLVO FM410,
VO440,VOLVO 440,
VO460,VOLVO 460,
VO480,VOLVO 480,
VO740,VOLVO 740,
VO760 VOFM760,VOLVO FM760,
VO850,VOLVO 850,
VO940,VOLVO 940,
VO960,VOLVO 960,
VOC30,VOLVO C30,
VOC70,VOLVO C70,
VOEG,VOLVO 怪手,
VOF10,VOLVO F10 拖車頭,
VOFH,VOLVO FH TRUCK,VOLVO
VOFH12,VOLVO FH12 拖車頭,
VOFH13,VOLVO FH13 拖車頭,
VOFH16,VOLVO FH16 拖車頭,
VOFL,VOLVO FL10 拖車頭,
VOFL12,VOLVO FL12 拖車頭,
VOFLH42,VOLVO FLH42,
VOFM,VOLVO FM TRUCK,VLOVO
VOFM12,VOLVO FM12 拖車頭,
VOFM380,,
VOS40,VOLVO S40,
VOS60,VOLVO S60,
VOS60R,VOLVO S60R,
VOS70,VOLVO S70,
VOS80,VOLVO S80,
VOS90,VOLVO S90,
VOTR,VOLVO TRUCK,
VOV40,VOLVO V40,
VOV50,VOLVO V50,
VOV60,VOLVO V60,
VOV70,VOLVO V70,
VOV70R,VOLVO V70R,
VOV90,VOLVO V90,
VOXC40,VOLVO XC-40,
VOXC60,VOLVO XC-60,
VOXC70,VOLVO XC-70,
VOXC90,VOLVO XC-90,
VQ,橡皮,
VW,福斯,
VWAM,AMOROK,
VWAR,VW AMAROK 皮卡,
VWBE,BEETLE (金龜車),
VWBO,BORA,
VWCA,CARAVELLE,
VWCAD,CADDY,
VWCO,CORRADO 小鋼炮,
VWCRA,CRAFTER 小巴,
VWGO,GOLF,
VWGP,GOLF PLUS,
VWJE,JETTA,
VWLU,LUPO,
VWPA,PASSAT,
VWPH,PHAETON,
VWPO,POLO,
VWPOI,POINTER,
VWSC,SCIROCCO,
VWSH,SHARAN,
VWSK,SKODA,
VWT3,T3,
VWT4,T4,
VWT5,T5 (TRANSPORTER),
VWT6,T6,
VWT7,T7 (TRANSPORTER),
VWTC,T-CROSS,VW
VWTI,TIGUAN,
VWTO,TOUAREG,
VWTOU,TOURAN,
VWTR,TRANSPORTER,
VWTROC,T-ROC,
VWTT,TT,
VWUP,UP,
VWVE,VENTO,
VWVWD,小坦克,
WM,通用,
WV,台新,
X2T,冷凍車,
XN,螺絲,
XNXN,勞斯萊斯,
XY2,路自達,
Y,Y-KYB,
YA UA,YANMAR (野馬),
Z2,富達,
Z2R,發電機,
ZW FOT,FOTON 福田,
ZZ SC,福方,
ZZ112 SC112,福方112,
ZZ113 SC113,福方113 (320),
ZZ114 SC114,福方114 (340) 仁者龜,
ZZP340 SC340,福方 P340 4X2,
ZZP380 SC380,福方 P380,
ZZR380 SCR380,福方 R380,
ZZR420 SCR420,福方 R420,
ZZZZZZZZZZZZZZZ,已刪除車種資料,
ZZZZZZZZZZZZZZZZZZZZ,已刪除車種資料,
