代碼,顯示名,分類
RT,價差,價差
RT2Q,機車燈泡,機車燈泡
RTF,擊窗器,擊窗器
RTV,救車線,救車線
RU,機油,機油
RU1,機油表,機油表
RU1Q,機油邦浦,機油邦浦
RU2DE,機油燈開關,機油燈開關
RUA2,加油馬達,加油馬達
RUD,記憶卡,記憶卡
RUDE RUUXDE,機油開關,機油開關
RUE,機油蓋,機油蓋
RUEX,機油干樂,機油干樂
RUF,加油槍,加油槍
RUJ21,機油溫度表,機油溫度表
RUR,加油機,加油機
RUT,機油尺,機油尺
RUV,機油芯,機油芯
RUV1,加油線,加油線
RUVE,機油芯蓋,機油芯蓋
RUVY,機油芯座,機油芯座
RUW,記憶體,記憶體
RVC,接線盒,接線盒
RVR,接線夾,接線夾
RW,接頭,接頭
-RW,二極體,二極體
RW1,腳踏板,腳踏板
RW2,腳踏墊,腳踏墊
RW3,鏡頭,鏡頭
RW4,膠條,膠條
RW5,膠套,膠套
RWC,接頭環,接頭環
RWCX2,交通紅綠燈,交通紅綠燈
RWDE,腳踏開關,腳踏開關
RWJD,夾鐵外殼,夾鐵外殼
RX1,紀錄表,紀錄表
RX5,紀錄紙,紀錄紙
RXJD,夾鋁外殼,夾鋁外殼
RXN,六角鎖,六角鎖
RY,夾子,夾子
RZ,寄放,寄放
RZ5,集風罩,集風罩
S1F,逆變器,逆變器
S1G,內把手,內把手
S1GD,內把手框,內把手框
S1GGXV,內把手手拉線,內把手手拉線
S5Z,逆止閥,逆止閥
SB1,耐熱布,耐熱布
SCE,內護桿,內護桿
SE,內骨,內骨
SE1,內龜板,內龜板
SE3,軟管,軟管
SFE,暖氣管,暖氣管
SFV 5ZF BGV,暖氣箱,暖氣箱
SFVYT,暖氣箱總成,暖氣箱總成
SFZVYT,暖氣風箱總成,暖氣風箱總成
SG1,內飾板,內飾板
SGF,內水切,內水切
SGQVE2Y,黏式配線固定座,黏式配線固定座
SH,泥槽,泥槽
SJVCA2,內外循環馬達,內外循環馬達
SNV,尿素芯,尿素芯
ST,泥槽,泥槽
SW,內鐵,內鐵
SX1G,扭力板手,扭力板手
SXE,扭力桿,扭力桿
T0,長安,長安
T1E,,
T1Y,茶杯座,茶杯座
T22,車頂燈,車頂燈
T25,傳動軸,傳動軸
T25UZ,傳動軸油封,傳動軸油封
T25ZTW,傳動軸防塵套,傳動軸防塵套
T2F,充電器,充電器
T2R,充電機,充電機
TA,觸媒,觸媒
TA0DY,車門按扣座,車門按扣座
TA12,車門板燈,車門板燈
TA25,車門檔止,車門檔止
TACW,車門黑頭,車門黑頭
TADE,車門開關,車門開關
TADG,車門靠手,車門靠手
TAGDE,觸摸式開關,觸摸式開關
TANB,車門鎖仁,車門鎖仁
TARW,車門膠條,車門膠條
TAS,車門鈕,車門鈕
TAVGW,車門下飼條,車門下飼條
TAVQ,車門橡皮,車門橡皮
TC,茶壺,茶壺
TE,撐桿,撐桿
TEU1CF,超高壓保護器,超高壓保護器
TF,川崎,川崎
TF1,充氣表,充氣表
TF11G,充氣表把手,充氣表把手
TF1E,充氣表管,充氣表管
TF1XEZ-,充氣表拉桿凡而,充氣表拉桿凡而
TF1Z-ZA,充氣表凡而閥門,充氣表凡而閥門
TFGE2Y,插鞘式固定座,插鞘式固定座
TFW,充氣頭,充氣頭
TFWE,充氣頭蓋,充氣頭蓋
TGD,出水口,出水口
TGR,TGR,TGR
TGW,出水頭,出水頭
TH,車側,車側
TJDE,除霧開關,除霧開關
TK,TKK,TKK
TK1,差額,差額
TMRU,車用機油,車用機油
TN2,超速燈,超速燈
TNC,臭酸糊,臭酸糊
TNFU,差速器油,差速器油
TQ,插片,插片
TQR,車牌架,車牌架
TRU,柴油TURBO,柴油TURBO
TRUTDE,TR引出開關,TR引出開關
TS2,車內燈,車內燈
TT2,超車燈,超車燈
TT2D,超車燈殼,超車燈殼
TT2DE,超車燈開關,超車燈開關
TTRQF,車窗擊破器,車窗擊破器
TU1,柴油表,柴油表
TU1Q,柴油泵浦,柴油泵浦
TU5,柴油紙,柴油紙
TUE,抽油管,抽油管
TUE1,抽油管,抽油管
TUR,柴油精,柴油精
TUV,柴油芯,柴油芯
TUVYT,柴油芯總成,柴油芯總成
TUX1,船音喇叭,船音喇叭
TV,插肖,插肖
TW,插頭,插頭
TW1,襯套,襯套
TWR,充填機,充填機
TX,齒輪,齒輪
TX2,車輪擋,車輪擋
TXE,窗簾勾,窗簾勾
TXU,齒輪油,齒輪油
TXV,齒輪肖,齒輪肖
TY,插座,插座
TY1,車子,車子
TY2,出租燈,出租燈
TZD,出風口,出風口
U1,壓板,壓板
U11,油杯,油杯
U12Q,儀表燈炮,儀表燈炮
U1A1,儀表面板,儀表面板
U1E,搖臂蓋,搖臂蓋
U1VF,引爆線圈,引爆線圈
U1X2DE,儀表亮度開關,儀表亮度開關
U1YT,儀表總成,儀表總成
U2D,油底殼,油底殼
U2D2Q,油底殼墊片,油底殼墊片
UAA2,油門馬達,油門馬達
UAR UJR,油面計(油位計),油面計
UAV,油門線,油門線
UC,煙盒,煙盒
UC1,油壺,油壺
UCE,銀悍膏,銀悍膏
UDF,遙控器,遙控器
UE,油管,油管
UE2,螢光燈,螢光燈
UEE5F,陽光感知器,陽光感知器
UER,壓管機,壓管機
UER1,螢光劑,螢光劑
UERVG2,螢光劑顯示燈,螢光劑顯示燈
UEW,壓管頭,壓管頭
UF1,氧氣錶,氧氣錶
UF1W,引擎本體,引擎本體
UF2Y,引擎底座,引擎底座
UF5N1,引擎轉速表,引擎轉速表
UFDE,引擎開關,引擎開關
UFE,引擎蓋,引擎蓋
UFEX1,引擎蓋拉把,引擎蓋拉把
UFGTDE,引擎煞車開關,引擎煞車開關
UFJ2W,引擎溫度頭,引擎溫度頭
UFR,引擎腳,引擎腳
UFVC1,引擎下護板,引擎下護板
UFVCV,引擎熄火線,引擎熄火線
UFXE,引擎拉桿,引擎拉桿
UFZXF,油氣分離器,油氣分離器
UG,鑰匙,鑰匙
UGDE,壓式開關,壓式開關
UGV,油水芯,油水芯
UGZXF,油水分離器,油水分離器
UN,UNITTA,UNITTA
UN1,油塞,油塞
UNR,壓縮機,壓縮機
UNR1CW,壓縮機變換頭,壓縮機變換頭
UNR1W,壓縮機本體,壓縮機本體
UNR1Y,壓縮機脖子,壓縮機脖子
UNR2YQ,壓縮機彈子盤,壓縮機彈子盤
UNRCE,壓縮機後蓋,壓縮機後蓋
UNRD5Z ECV,壓縮機控制閥,壓縮機控制閥
UNRE5F,壓縮機感知器,壓縮機感知器
UNREE,壓縮機管蓋,壓縮機管蓋
UNRER,壓縮機工具,壓縮機工具
UNRFAQY,壓縮機氣門片組,壓縮機氣門片組
UNRGE,壓縮機上蓋,壓縮機上蓋
UNRJ2DE,壓縮機溫度開關,壓縮機溫度開關
UNRQ2Q,壓縮機皮帶盤,壓縮機皮帶盤
UNRQR,壓縮機配件,壓縮機配件
UNRTW,壓縮機插頭,壓縮機插頭
UNRUZ,壓縮機油封,壓縮機油封
UNRVX,壓縮機修理,壓縮機修理
UNRVX1,壓縮機修理包,壓縮機修理包
UQ,葉片,葉片
UQ1,油瓶,油瓶
UR,羊角,羊角
UR1,油精,油精
URA2,加油馬達,加油馬達
USBY,USB座,USB座
UT,油尺,油尺
U-T,乙二醇,乙二醇
UTV,延長線,延長線
UTVC2GF,延遲熄火訂時,延遲熄火訂時
UUD,油壓缸,油壓缸
UUE,油壓缸,油壓缸
UUG,營業稅,營業稅
UUNR1Y,壓縮機脖子,壓縮機脖子
UUWRZ,油壓調節閥,油壓調節閥
UV,油箱,油箱
UV1,音響板,音響板
UVE,隱型管,隱型管
UVE1,油箱蓋,油箱蓋
UVX2,音響喇叭,音響喇叭
UVZV,隱型風箱,隱型風箱
UW,壓條,壓條
UW1,油條,油條
UXDE CEDE PS,壓力開關,壓力開關
UXDEY,壓力開關座,壓力開關座
UXR,飲料架,飲料架
UY,葉子,葉子
UY1,葉子板,葉子板
UY2,郵資,郵資
UZ,油封,油封
UZ1,油桶,油桶
UZE,油封蓋,油封蓋
UZXF,油分離器,油分離器
V,錫,錫
V1N,小波司,小波司
V2,小燈,小燈
V21,下擋板,下擋板
V22M,行動電源,行動電源
V2LED,行動LED,行動LED
V2Y,小燈座,小燈座
V52,旋轉燈,旋轉燈
V522Y,旋轉燈底座,旋轉燈底座
V52D,旋轉燈殼,旋轉燈殼
V52WY,旋轉燈鐵座,旋轉燈鐵座
V5S,旋轉鈕,旋轉鈕
VCA2,熄火馬達,熄火馬達
VCU,循環油,循環油
VCV,熄火線,熄火線
VE,下蓋,下蓋
VF,線圈,線圈
VGD5F D5F,顯示控制器,顯示控制器
VGE,洗手膏,洗手膏
VGZ,洗手粉,洗手粉
VH,線槽,線槽
VH1,下側板,下側板
VHR,線槽剪,線槽剪
VQ,橡皮,橡皮
VQ1,橡皮包,橡皮包
VQE,橡皮管,橡皮管
VQN,小波司,小波司
VR,線夾,線夾
VR1,現金,現金
VR2Q,斜角燈泡,斜角燈泡
VRTW,橡膠插頭,橡膠插頭
VTC,VTC,VTC
VTRXF,行車紀錄器,行車紀錄器
VTWA2,掀車頭馬達,掀車頭馬達
VU,矽油,矽油
VUE VUF AUF,消音管,消音管
VUF AUF,消音器,消音器
VUF1,消音器吊,消音器吊
VUZ,洩壓閥,洩壓閥
VV,線芯,線芯
VVZV,箱型風箱,箱型風箱
VWA2,掀頭馬達,掀頭馬達
VX,修理,修理
VX1,修理包,修理包
VXD,矽利康,矽利康
VXVN,行李箱鎖,行李箱鎖
VY,線組,線組
VYDE,選擇開關,選擇開關
VYR,心臟劑,心臟劑
VZ,信封,信封
W1,踏板,踏板
W11,鐵板,鐵板
W12,銅包,銅包
W1Y,踏板座,踏板座
W2,條燈,條燈
W21,碳帶,碳帶
W22,頭燈,頭燈
W221,鐵道燈,鐵道燈
W2DE,拖檔開關,拖檔開關
W5,貼紙,貼紙
W52,探照燈,探照燈
W5E,調整桿,調整桿
W5F,調整器,調整器
W5V,調整線,調整線
W5Z,停止閥,停止閥
W5Z1,調整閥,調整閥
WARE,透明膠管,透明膠管
WC,彈簧,彈簧
WD40,WD40,WD40
WE,鐵管,鐵管
WE1,銅管,銅管
WE2,套管,套管
WE3,鐵罐,鐵罐
WF,銅圈,銅圈
WFZ,通氣閥,通氣閥
WG,碳刷,碳刷
WGDE,筒式開關,筒式開關
WGW1,噴水桶,噴水桶
WGX1E,筒式喇叭管,筒式喇叭管
WGX1YT,筒式喇叭總成,筒式喇叭總成
WGY,碳刷座,碳刷座
WH,鐵槽,鐵槽
WJ,鐵網,鐵網
WNF,推送器,推送器
WNZ,提速閥,提速閥
WQ,銅片,銅片
WQ1,彈片,彈片
WQ2,鐵片,鐵片
WR,鐵架,鐵架
WTA2,天窗馬達,天窗馬達
WTAU,脫臭煤油,脫臭煤油
WTE,拖車蓋,拖車蓋
WTRQ,天窗配件,天窗配件
WTX,停車鈴,停車鈴
WU1,胎壓表,胎壓表
WU1C,統一編號,統一編號
WU5HF,胎壓偵測器,胎壓偵測器
WUR,胎壓計,胎壓計
WUZ,調壓閥,調壓閥
WV,天線,天線
WV1,銅心,銅心
WVV,天線芯,天線芯
WVW,天線頭,天線頭
WW,銅頭,銅頭
WW1,銅套,銅套
WW2,鐵套,鐵套
WW3,抬頭,抬頭
WW4,碳筒,碳筒
WWVGF,抬頭顯示器,抬頭顯示器
WX2X2,輪胎得力帶,輪胎得力帶
WY,鐵座,鐵座
WY2,工作燈,工作燈
WZJ,通風網,通風網
WZX,鐵弗龍,鐵弗龍
WZZ,通風閥,通風閥
X10R,喇叭按鍵,喇叭按鍵
X10SE,喇叭按鈕蓋,喇叭按鈕蓋
X1G1,喇叭手柄,喇叭手柄
X1RVF,喇叭間歇器,喇叭間歇器
X1UNR,喇叭壓縮機,喇叭壓縮機
X1V,喇叭線,喇叭線
X1VF,喇叭線圈,喇叭線圈
X1W,喇叭頭,喇叭頭
X2U,冷凍油,冷凍油
X2UR5W,冷凍油加注筒,冷凍油加注筒
XA,冷煤,冷煤
XA1,路碼表,路碼表
XA1V,路碼表線,路碼表線
XA2,螺帽,螺帽
XACGR,冷煤回收機,冷煤回收機
XAHXU,冷媒測漏儀,冷媒測漏儀
XAW,冷媒筒,冷媒筒
XAWXF,冷煤探漏器,冷煤探漏器
XC,輪弧,輪弧
XCF,離合器,離合器
XCF1,離合器板,離合器板
XCF1Q,離合器幫浦,離合器幫浦
XCF1T,離合器撥叉,離合器撥叉
XCF5T,離合器軸承,離合器軸承
XCFN1,離合器三寶,離合器三寶
XCFQ,離合器片,離合器片
XCFQY,離合器片仔,離合器片仔
XCFU1,離合器壓板,離合器壓板
XCFV,離合器線,離合器線
XCFW1TV,離合器踏板插銷,離合器踏板插銷
XCFWC,離合器彈簧,離合器彈簧
XCFY1,離合器總泵,離合器總泵
XCFYT,離合器總成,離合器總成
XCFZ1,離合器分泵,離合器分泵
XCFZ511,離合器輔助氣幫,離合器輔助氣幫
XCU,潤滑油,潤滑油
XCW,鋁焊條,鋁焊條
XCZ,鋁焊粉,鋁焊粉
XD,鋁殼,鋁殼
XE,鋁管,鋁管
XE1,浪管,浪管
XE1 TE,拉桿 (撐桿),拉桿
XE3,鋁罐,鋁罐
XEW,鋁公頭/燒焊用,鋁公頭/燒焊用
XF22F,冷氣斷電器,冷氣斷電器
XFA2,冷氣馬達,冷氣馬達
XFD5A1YT,冷氣控制面板總成,冷氣控制面板總成
XFE,冷卻管,冷卻管
XFF,冷卻器,冷卻器
XFFW,冷氣全台,冷氣全台
XFG,冷氣束,冷氣束
XFGVNBA2,冷氣水箱散熱馬達總成,冷氣水箱散熱馬達總成
XFJ1E,冷氣外包管,冷氣外包管
XFJ2DE X2DE,冷氣溫度開關,冷氣溫度開關
XFNBA2,冷氣散熱馬達,冷氣散熱馬達
XFNBA2YT,冷氣散熱馬達總成,冷氣散熱馬達總成
XFR,冷氣架,冷氣架
XFR1,冷氣機,冷氣機
XFR2,冷氣膠,冷氣膠
XFUV,冷卻油心,冷卻油心
XFXJ,冷氣濾網,冷氣濾網
XFXJD,冷氣濾網框,冷氣濾網框
XGD5Z,流水控制閥,流水控制閥
XGVY,濾水心子,濾水心子
XJ,濾網,濾網
XJZ,勞務費,勞務費
XMWG2,綠色逃生燈,綠色逃生燈
XN,螺絲,螺絲
XN1,拉索,拉索
XNA,鋁螺母,鋁螺母
XNE2R,螺絲固定劑,螺絲固定劑
XNWG2,綠色逃生燈,綠色逃生燈
XQ,禮品,禮品
XQ1,鋁片,鋁片
XRN,六角鎖,六角鎖
XRUQ,零件一批,零件一批
XRVQ,六角橡皮,六角橡皮
XRW,鋁接頭,鋁接頭
XSF,冷凝器,冷凝器
XSFDWFCY,冷暖氣空調切換總成,冷暖氣空調切換總成
XSFDWYT,冷暖氣空調總成,冷暖氣空調總成
XSFFCA2,冷暖氣切換馬達,冷暖氣切換馬達
XT1,里程表,里程表
XUZ-,螺牙凡而,螺牙凡而
XV,拉線,拉線
XW,立鐵,立鐵
XW2X2,輪胎得力帶,輪胎得力帶
XW2YQ,輪胎彈子盤,輪胎彈子盤
XWD5F,鍊條擴張器,鍊條擴張器
XWE,輪胎蓋,輪胎蓋
XWU,輪胎油,輪胎油
XWUZ,輪胎油封,輪胎油封
XWXN,輪胎螺絲,輪胎螺絲
XWXNA,輪胎螺絲帽,輪胎螺絲帽
XXA,鋁螺母,鋁螺母
XXQ GTQ,來令片 (煞車皮),來令片
XXQ35TFX2G,來令片3.5T 前輪-碟式,來令片3.5T 前輪-碟式
XXQ35TFXCX,來令片3.5T 前輪/後輪,來令片3.5T 前輪/後輪
XXQFX2G,來令片前輪-碟式,來令片前輪-碟式
XXR,流量計,流量計
XY,鋁座,鋁座
XYT,李仔串,李仔串
Y2,角燈,角燈
Y2ADE,自動門開關,自動門開關
Y2Q2U,自動排檔油,自動排檔油
YA,子妹,子妹
YAV,子母線,子母線
YC1,綜合表,綜合表
YCDE,綜合開關,綜合開關
YF,自取,自取
YG2,鑽石燈,鑽石燈
YJE,自位桿,自位桿
YS2,自黏袋,自黏袋
YZV,阻風線,阻風線
Z2F,防盜器,防盜器
Z2FX1,防盜器喇叭,防盜器喇叭
Z2Q,分電盤,分電盤
Z2QE,分電盤蓋,分電盤蓋
Z2QN,分電盤塞,分電盤塞
Z2R,發電機,發電機
Z2R5Y,發電機轉子,發電機轉子
Z2RCD,發電機後殼,發電機後殼
Z2RFD,發電機前殼,發電機前殼
Z2RVX,發電機修理,發電機修理
Z2RVXDY,發電機矽利康座,發電機矽利康座
Z5R,輔助鏡,輔助鏡
Z5RE,輔助鏡桿,輔助鏡桿
Z5RQ,輔助鏡片,輔助鏡片
Z5W ZGW 1GW,輔助桶,輔助桶
Z5W1,防撞條,防撞條
ZAF,蜂鳴器,蜂鳴器
ZCE,防護膏,防護膏
ZCW,分火頭,分火頭
ZCW1,防護條,防護條
ZE,風龜,風龜
ZE1,風管,風管
ZEQ,反光片,反光片
ZFCA,廢氣活門,廢氣活門
ZFCAVQ,廢氣活門橡皮,廢氣活門橡皮
ZFE,廢氣管,廢氣管
ZFEUF,廢氣感應器,廢氣感應器
ZFEXF,廢氣過濾器,廢氣過濾器
ZFV,廢氣芯,廢氣芯
ZFVC,廢器循環,廢器循環
ZFVCE,廢器循環管,廢器循環管
ZFW,廢氣桶,廢氣桶
ZFZ,廢氣閥,廢氣閥
ZG,扶手,扶手
ZG2Y,風扇電阻,風扇電阻
ZGF,發射器,發射器
ZGJD,風扇外框,風扇外框
ZGQ,非石棉,非石棉
ZGUQ,風扇葉片,風扇葉片
ZGV,副水箱,副水箱
ZGW,防水套,防水套
ZGXCF,風扇離合器,風扇離合器
ZM,費用,費用
ZNDE,風速開關,風速開關
ZNDEYT,風速開關總成,風速開關總成
ZNXCF,風散離合器,風散離合器
ZNXCFY,風散離合器座,風散離合器座
ZQG,發票稅,發票稅
ZR,副機,副機
ZR2B,飛機燈仁,飛機燈仁
ZR2YT,飛機燈總成,飛機燈總成
ZTW ZW,防塵套,防塵套
ZU,防油,防油
ZUE,防油罐,防油罐
ZV2,方向燈,方向燈
ZV2D,角燈殼,角燈殼
ZV2Y EXRW,風箱電阻 (功率晶體),風箱電阻
ZV2Y1,方向燈座,方向燈座
ZVA2 DWFCA2,風向馬達,風向馬達
ZVA21,風箱馬達,風箱馬達
ZVB 5ZF,風箱仁 (蒸發器),風箱仁
ZVF5Y,方向器中座,方向器中座
ZVGXW,風箱試漏頭,風箱試漏頭
ZVQ,方向盤,方向盤
ZVQAW,方向盤饅頭,方向盤饅頭
ZVQW,方向盤套,方向盤套
ZVR,防銹劑,防銹劑
ZVR1,方向機,方向機
ZVR1Q,方向機邦浦,方向機邦浦
ZVRU,方向機油,方向機油
ZVRUXED,方向機壓力開關,方向機壓力開關
ZVU,防銹油,防銹油
ZVUTE,風箱延長管,風箱延長管
ZVUV,方向油芯,方向油芯
ZW,浮筒,浮筒
ZW1,伏特表,伏特表
ZWXJ,浮筒濾網,浮筒濾網
ZX,飛輪,飛輪
ZX1,風雷,風雷
ZX5T,飛輪軸承,飛輪軸承
ZY,風嘴,風嘴
ZYC,風嘴盒,風嘴盒
ZYF,負載器,負載器
ZZZZZZZZZZZZZZZ,已刪除品名資料,已刪除品名資料
ZZZZZZZZZZZZZZZZZZZZ,已刪除品名資料,已刪除品名資料
